Countries,Year,Trade_GDP,Inflation_Rate,Unemployment_Rate,LFPR,Tariff_Rate,Unemployment_Rate_Lag,Trade_GDP_Lag,Inflation_Lagged,POST_WTO,Interaction
Australia,1993,35.3502769485307,1.75365751770527,10.879,62.597,9.75,10.733,32.9981716307874,1.01222824105977,0,0.0
Australia,1996,38.1740208800895,2.61537902431631,8.509,63.649,6.81,8.473,37.646874037201,4.62776445368168,0,0.0
Australia,1997,37.9217014956962,0.224895027032537,8.367,63.26,6.82,8.509,38.1740208800895,2.61537902431631,0,0.0
Australia,1998,39.9240664596368,0.860129922016289,7.684,63.133,6.49,8.367,37.9217014956962,0.224895027032537,0,0.0
Australia,1999,38.9602467102359,1.48313946657267,6.876,62.908,6.1,7.684,39.9240664596368,0.860129922016289,0,0.0
Australia,2000,40.8631257691954,4.45743705920869,6.288,63.282,5.83,6.876,38.9602467102359,1.48313946657267,0,0.0
Australia,2001,44.1337313971929,4.40712998561533,6.747,63.444,4.8,6.288,40.8631257691954,4.45743705920869,1,297.7702857368605
Australia,2002,41.3813128146921,2.98157117047457,6.375,63.508,3.69,6.747,44.1337313971929,4.40712998561533,1,263.80586919366215
Australia,2003,40.1348011794482,2.73259754838937,5.933,63.715,3.74,6.375,41.3813128146921,2.98157117047457,1,238.1197753976662
Australia,2004,36.9505159618289,2.34325687131265,5.399,63.577,3.69,5.933,40.1348011794482,2.73259754838937,1,199.49583567791422
Australia,2005,39.0978822564811,2.69182949622197,5.036,64.509,3.07,5.399,36.9505159618289,2.34325687131265,1,196.8969350436388
Australia,2006,41.4878923489153,3.55528696972984,4.785,64.85,3.38,5.036,39.0978822564811,2.69182949622197,1,198.51956488955972
Australia,2007,41.9297451276561,2.32761442623159,4.381,65.275,3.45,4.785,41.4878923489153,3.55528696972984,1,183.69421340426138
Australia,2008,42.7522207880308,4.35029726664093,4.242,65.564,3.15,4.381,41.9297451276561,2.32761442623159,1,181.35492058282665
Australia,2009,45.5936120867789,1.77112025681656,5.565,65.502,3.67,4.242,42.7522207880308,4.35029726664093,1,253.72845126292458
Australia,2010,40.3905070860606,2.9183370211222,5.214,65.48,2.8,5.565,45.5936120867789,1.77112025681656,1,210.59610394672
Australia,2011,41.7219860149689,3.30384784681081,5.083,65.514,1.77,5.214,40.3905070860606,2.9183370211222,1,212.07285491408692
Australia,2012,43.0198495527558,1.76278299052228,5.225,65.245,1.81,5.083,41.7219860149689,3.30384784681081,1,224.77871391314903
Australia,2013,41.100511881056,2.44988248109259,5.663,65.025,1.84,5.225,43.0198495527558,1.76278299052228,1,232.75219878242015
Australia,2014,42.2993095385282,2.48792932080492,6.078,64.787,1.91,5.663,41.100511881056,2.44988248109259,1,257.0952033751744
Australia,2015,41.4947506939901,1.50836803138463,6.055,65.076,1.9,6.078,42.2993095385282,2.48792932080492,1,251.25071545211003
Australia,2016,40.813402217321,1.27699365720306,5.711,64.952,1.18,6.055,41.4947506939901,1.50836803138463,1,233.08534006312024
Australia,2017,42.0354135251854,1.94864309065653,5.592,65.248,0.89,5.711,40.813402217321,1.27699365720306,1,235.06203243283673
Australia,2018,43.5732253645218,1.91140002818579,5.345,65.804,0.86,5.592,42.0354135251854,1.94864309065653,1,232.898889573369
Australia,2019,46.0016827052171,1.610770929127,5.143,66.088,0.77,5.345,43.5732253645218,1.91140002818579,1,236.58665415293154
Australia,2020,44.499564103879,0.846900734607273,6.394,65.028,0.71,5.143,46.0016827052171,1.610770929127,1,284.5302128802023
Australia,2021,40.2022359390595,2.86391284709318,5.022,66.147,0.81,6.394,44.499564103879,0.846900734607273,1,201.89562888595682
Australia,2022,45.6946418805752,6.59409658717841,3.728,66.89,0.99,5.022,40.2022359390595,2.86391284709318,1,170.34962493078436
Canada,1993,58.2507961453047,1.86507936507938,11.377,64.935,3.59,11.197,52.7380309449972,1.49013290374545,0,0.0
Canada,1995,69.0617480799547,2.14876033057849,9.489,64.404,6.69,10.395,64.3915441455001,0.165562913907291,0,0.0
Canada,1996,70.2600734560392,1.57053112507137,9.62,64.225,5.43,9.489,69.0617480799547,2.14876033057849,0,0.0
Canada,1997,74.3366100816522,1.6212163808453,9.1,64.42,1.99,9.62,70.2600734560392,1.57053112507137,0,0.0
Canada,1998,78.0811853628611,0.995942456658019,8.278,64.67,1.44,9.1,74.3366100816522,1.6212163808453,0,0.0
Canada,1999,80.1150293129295,1.73484295105918,7.583,65.072,1.01,8.278,78.0811853628611,0.995942456658019,0,0.0
Canada,2000,82.7653578503214,2.71943995691976,6.829,65.291,1.31,7.583,80.1150293129295,1.73484295105918,0,0.0
Canada,2001,78.3442183943698,2.52512013979905,7.219,65.412,1.6,6.829,82.7653578503214,2.71943995691976,1,565.5669125889557
Canada,2002,75.7070320779233,2.25839440940855,7.665,66.386,1.49,7.219,78.3442183943698,2.52512013979905,1,580.2944008772821
Canada,2003,69.8400946170607,2.75856321360112,7.574,67.111,2.46,7.665,75.7070320779233,2.25839440940855,1,528.9688766296177
Canada,2004,70.1924199909562,1.85725871857256,7.185,67.057,1.51,7.574,69.8400946170607,2.75856321360112,1,504.33253763502023
Canada,2005,69.7591330167357,2.21355203439767,6.758,66.731,1.46,7.185,70.1924199909562,1.85725871857256,1,471.4322209270999
Canada,2006,68.0521644769988,2.00202539534161,6.484,66.827,1.45,6.758,69.7591330167357,2.21355203439767,1,441.2502344688602
Canada,2007,66.2834197482347,2.13838399266837,6.156,67.109,1.54,6.484,68.0521644769988,2.00202539534161,1,408.0407319701328
Canada,2008,67.0236083618983,2.37027067444298,6.284,67.268,1.54,6.156,66.2834197482347,2.13838399266837,1,421.1763549461689
Canada,2009,58.4743918224897,0.299466803009299,8.46,66.952,1.7,6.284,67.0236083618983,2.37027067444298,1,494.6933548182629
Canada,2010,60.2081215044483,1.77687154092627,8.178,66.732,1.46,8.46,58.4743918224897,0.299466803009299,1,492.38201766337824
Canada,2011,62.4987387708328,2.91213508872351,7.637,66.594,1.38,8.178,60.2081215044483,1.77687154092627,1,477.30286799285005
Canada,2012,62.5955489395005,1.51567823124516,7.392,66.558,1.4,7.637,62.4987387708328,2.91213508872351,1,462.7062977607877
Canada,2013,62.2310749013405,0.938291897815316,7.143,66.541,1.45,7.392,62.5955489395005,1.51567823124516,1,444.51656802027514
Canada,2014,64.3786621564923,1.90663590717861,7.023,66.022,1.43,7.143,62.2310749013405,0.938291897815316,1,452.1313443250454
Canada,2015,66.1649020669781,1.12524136094277,6.945,65.887,1.65,7.023,64.3786621564923,1.90663590717861,1,459.5152448551629
Canada,2016,65.3636845215556,1.42875954701085,7.038,65.638,1.56,6.945,66.1649020669781,1.12524136094277,1,460.0296116627083
Canada,2017,65.1010608504649,1.59688412852976,6.426,65.792,1.52,7.038,65.3636845215556,1.42875954701085,1,418.33941702508747
Canada,2018,66.5998858508762,2.26822567248103,5.837,65.547,1.47,6.426,65.1010608504649,1.59688412852976,1,388.7435337115644
Canada,2019,66.1714852804959,1.94926902411592,5.69,65.809,1.51,5.837,66.5998858508762,2.26822567248103,1,376.5157512460217
