Countries,Year,Trade_GDP,Inflation_Rate,Unemployment_Rate,POST_WTO,Interaction
Australia,1991,32.1456909693335,3.17666872277308,9.586,0,0.0
Australia,1992,32.9981716307874,1.01222824105977,10.733,0,0.0
Australia,1993,35.3502769485307,1.75365751770527,10.879,0,0.0
Australia,1994,36.4066117966299,1.96963507094102,9.724,0,0.0
Australia,1995,37.646874037201,4.62776445368168,8.473,0,0.0
Australia,1996,38.1740208800895,2.61537902431631,8.509,0,0.0
Australia,1997,37.9217014956962,0.224895027032537,8.367,0,0.0
Australia,1998,39.9240664596368,0.860129922016289,7.684,0,0.0
Australia,1999,38.9602467102359,1.48313946657267,6.876,0,0.0
Australia,2000,40.8631257691954,4.45743705920869,6.288,0,0.0
Australia,2001,44.1337313971929,4.40712998561533,6.747,1,6.747
Australia,2002,41.3813128146921,2.98157117047457,6.375,1,6.375
Australia,2003,40.1348011794482,2.73259754838937,5.933,1,5.933
Australia,2004,36.9505159618289,2.34325687131265,5.399,1,5.399
Australia,2005,39.0978822564811,2.69182949622197,5.036,1,5.036
Australia,2006,41.4878923489153,3.55528696972984,4.785,1,4.785
Australia,2007,41.9297451276561,2.32761442623159,4.381,1,4.381
Australia,2008,42.7522207880308,4.35029726664093,4.242,1,4.242
Australia,2009,45.5936120867789,1.77112025681656,5.565,1,5.565
Australia,2010,40.3905070860606,2.9183370211222,5.214,1,5.214
Australia,2011,41.7219860149689,3.30384784681081,5.083,1,5.083
Australia,2012,43.0198495527558,1.76278299052228,5.225,1,5.225
Australia,2013,41.100511881056,2.44988248109259,5.663,1,5.663
Australia,2014,42.2993095385282,2.48792932080492,6.078,1,6.078
Australia,2015,41.4947506939901,1.50836803138463,6.055,1,6.055
Australia,2016,40.813402217321,1.27699365720306,5.711,1,5.711
Australia,2017,42.0354135251854,1.94864309065653,5.592,1,5.592
Australia,2018,43.5732253645218,1.91140002818579,5.345,1,5.345
Australia,2019,46.0016827052171,1.610770929127,5.143,1,5.143
Australia,2020,44.499564103879,0.846900734607273,6.394,1,6.394
Australia,2021,40.2022359390595,2.86391284709318,5.022,1,5.022
Australia,2022,45.6946418805752,6.59409658717841,3.728,1,3.728
Australia,2023,49.044339318428,5.59701792296707,3.668,1,3.668
Australia,2024,47.1453811065195,3.16656665428797,3.942,1,3.942
Canada,1991,49.2234668475419,5.62586408593005,10.316,0,0.0
